sample ID, execution time,W 5A probe , W 30A probe
51,  26186,  65.836,  116.414
52,  26711,  66.437,  100.460
53,  27234,  64.853,  122.081
54,  27757,  65.847,  101.224
55,  28282,  65.686,  101.730
56,  28805,  66.046,  98.880
57,  29327,  66.930,  97.235
58,  29850,  65.443,  100.235
59,  30375,  66.251,  97.342
60,  30900,  66.230,  99.754
61,  31423,  65.916,  94.699
62,  31949,  66.257,  101.443
63,  32471,  65.930,  100.844
64,  32994,  66.846,  102.705
65,  33519,  66.031,  100.650
66,  34043,  66.976,  95.308
67,  34566,  66.643,  100.171
68,  35090,  67.981,  98.945
69,  35613,  66.305,  100.043
70,  36137,  65.930,  97.770
71,  36661,  64.429,  93.126
72,  37184,  64.652,  97.539
73,  37709,  64.199,  98.038
74,  38232,  65.443,  110.914
75,  38756,  65.476,  98.392
76,  39280,  64.113,  96.091
77,  39807,  63.628,  96.146
78,  40330,  64.571,  99.528
79,  40853,  63.590,  96.945
80,  41377,  64.284,  92.050
81,  41900,  63.422,  92.468
82,  42423,  64.506,  95.341
83,  42948,  65.688,  95.757
84,  43472,  64.608,  96.779
85,  43995,  66.325,  92.364
86,  44518,  63.670,  94.393
87,  45043,  64.352,  94.680
88,  45567,  66.211,  102.673
89,  46089,  65.994,  103.678
90,  46611,  65.430,  102.176
91,  47134,  66.238,  102.454
92,  47658,  67.044,  97.044
93,  48182,  64.302,  102.579
94,  48709,  67.522,  100.682
95,  49233,  64.958,  94.699
96,  49757,  65.717,  105.725
97,  50280,  66.496,  94.257
98,  50803,  67.382,  95.308
99,  51327,  67.204,  92.225
100,  51851,  66.434,  97.671
101,  52374,  67.685,  102.391
102,  52898,  66.869,  95.004
103,  53421,  66.291,  93.710
104,  53945,  66.928,  97.177
105,  54468,  67.030,  93.401
106,  54991,  65.938,  99.461
107,  55515,  66.145,  103.390
108,  56038,  66.531,  99.721
109,  56561,  64.916,  92.433
110,  57086,  64.277,  99.302
111,  57612,  68.249,  104.010
112,  58135,  66.309,  100.332
113,  58659,  65.644,  95.610
114,  59183,  67.524,  104.718
115,  59706,  65.325,  177.781
116,  60231,  65.176,  99.434
117,  60755,  63.698,  92.155
118,  61278,  63.834,  88.710
119,  61801,  65.566,  91.174
120,  62327,  65.124,  88.524
sample ID, execution time,W 5A probe , W 30A probe
2,  528,  64.993,  97.744
3,  1051,  64.695,  94.767
4,  1573,  65.306,  100.364
5,  2096,  66.217,  142.793
6,  2621,  66.225,  103.700
7,  3146,  66.057,  96.547
8,  3669,  64.912,  170.288
9,  4192,  65.782,  98.522
10,  4716,  64.439,  102.266
11,  5240,  64.288,  97.077
12,  5763,  68.000,  243.885
13,  6288,  67.313,  457.409
14,  6811,  66.689,  204.547
15,  7334,  66.639,  198.377
16,  7857,  66.501,  113.576
17,  8382,  68.870,  262.079
18,  8905,  65.671,  164.571
19,  9427,  67.710,  175.457
20,  9950,  63.841,  149.797
21,  10475,  67.426,  164.747
22,  10998,  66.308,  175.105
23,  11521,  65.398,  141.073
24,  12049,  64.457,  95.857
25,  12572,  65.413,  93.847
26,  13095,  67.465,  98.359
27,  13618,  67.578,  103.700
28,  14142,  67.330,  102.611
29,  14665,  67.242,  97.934
30,  15187,  66.569,  98.550
31,  15710,  67.769,  105.846
32,  16233,  69.131,  100.844
33,  16756,  68.000,  102.673
34,  17279,  67.779,  101.256
35,  17802,  67.415,  97.967
36,  18325,  66.036,  99.946
37,  18848,  66.569,  97.309
38,  19371,  66.784,  94.427
39,  19894,  65.964,  97.077
40,  20417,  65.844,  104.729
41,  20942,  67.580,  97.044
42,  21467,  66.780,  96.888
43,  21991,  65.476,  97.539
44,  22514,  64.393,  101.224
45,  23036,  66.814,  104.575
46,  23559,  65.869,  102.861
47,  24083,  66.150,  95.577
48,  24606,  67.719,  104.195
49,  25130,  65.941,  97.572
50,  25654,  66.294,  95.957
51,  26177,  66.140,  112.267
52,  26699,  66.128,  98.354
53,  27221,  66.185,  135.291
54,  27744,  64.384,  111.780
55,  28267,  64.631,  100.042
